head	relation	tail
client_1CCA78C6CE	owns	machine_575A1507A6
client_1CCA78C6CE	owns	machine_A4BC022FE3
client_1CCA78C6CE	owns	machine_FF11585F0E
client_1D191D8243	owns	machine_5F513738A5
client_1D191D8243	owns	machine_CB9811E013
client_1D191D8243	owns	machine_207BBF1409
client_1D191D8243	owns	machine_4BA720F456
client_1D191D8243	owns	machine_47CB351269
client_1D191D8243	owns	machine_9FD7A12D55
client_1D191D8243	owns	machine_77F6F38998
client_1D191D8243	owns	machine_5C061D2D63
client_1D191D8243	owns	machine_C0F8B1DFC3
client_1D191D8243	owns	machine_362F1D4973
client_1D191D8243	owns	machine_BE8CD6B57E
client_1D191D8243	owns	machine_2CCA684D34
client_1D191D8243	owns	machine_E5795C2386
client_1D191D8243	owns	machine_F7F309D54D
client_1D191D8243	owns	machine_CFC5111886
client_1D191D8243	owns	machine_69DCE6909A
client_1D191D8243	owns	machine_46B1189EB0
client_1D191D8243	owns	machine_537CF4C93C
client_1D191D8243	owns	machine_9D7145C042
client_1D191D8243	owns	machine_4CC0818FAC
client_1D191D8243	owns	machine_80C8E60AAB
client_1D191D8243	owns	machine_37FF3CB91C
client_1D191D8243	owns	machine_5CA9E0F2B3
client_1D191D8243	owns	machine_53A6D89DB3
client_1D191D8243	owns	machine_171D5F5365
client_1D191D8243	owns	machine_26166C66CD
client_1D191D8243	owns	machine_73E4D644BA
client_1D191D8243	owns	machine_9B6DB39222
client_1D191D8243	owns	machine_C6C395ADA0
client_1D191D8243	owns	machine_4DC06D7601
client_1D344EE8FB	owns	machine_58AF39EDF9
client_1D344EE8FB	owns	machine_ED88DBC80A
client_1D344EE8FB	owns	machine_22BCBE35E2
client_1DDD57AF2A	owns	machine_79B63D3A6D
client_1DDD57AF2A	owns	machine_043AAA9C26
client_1DDD57AF2A	owns	machine_752DD5686E
client_1DDD57AF2A	owns	machine_9A33FFF014
client_1DDD57AF2A	owns	machine_A271B11CC9
client_1DDD57AF2A	owns	machine_95498D5C6C
client_1DDD57AF2A	owns	machine_AB6E87792C
client_1DDD57AF2A	owns	machine_C9AAE72A9F
client_1DDD57AF2A	owns	machine_8DD4F023B8
client_1DDD57AF2A	owns	machine_0D171090E7
client_1DDD57AF2A	owns	machine_F3A5903E73
client_1DDD57AF2A	owns	machine_7CD295BAC0
client_1DDD57AF2A	owns	machine_E63D5072EA
client_1DDD57AF2A	owns	machine_9550DFB2C8
client_1DDD57AF2A	owns	machine_4E4F8CC84D
client_1E30FD8EC0	owns	machine_1B5974197C
client_1ED508FFBC	owns	machine_66AD66A014
client_1ED508FFBC	owns	machine_E57B4A8378
client_1ED508FFBC	owns	machine_A5BC1DBB73
client_1ED508FFBC	owns	machine_2C13BF0225
client_1ED508FFBC	owns	machine_D1728C1B69
client_1ED508FFBC	owns	machine_7690E6431B
client_1ED508FFBC	owns	machine_5F62D649A3
client_1ED508FFBC	owns	machine_02AD8C8CC4
client_1ED508FFBC	owns	machine_99BE9C48EB
client_20360282A4	owns	machine_B8687CFCF7
client_20360282A4	owns	machine_D3320C9F0A
client_20360282A4	owns	machine_270382C531
client_20360282A4	owns	machine_6A799081F2
client_20360282A4	owns	machine_B8A6F56BC8
client_20360282A4	owns	machine_20A660118C
client_20360282A4	owns	machine_A74B07094E
client_20360282A4	owns	machine_791BBBE7BC
client_20360282A4	owns	machine_9345392257
client_20360282A4	owns	machine_4E8BBDD511
client_20360282A4	owns	machine_3DC4C2AA22
client_20360282A4	owns	machine_B8D547BC59
client_20360282A4	owns	machine_94EE2F9EE4
client_20360282A4	owns	machine_B8A50CB7CD
client_20360282A4	owns	machine_16554B0E10
client_20360282A4	owns	machine_798054231B
client_20360282A4	owns	machine_09D7529403
client_20360282A4	owns	machine_2E006644CB
client_20360282A4	owns	machine_09E1B0715B
client_20360282A4	owns	machine_61550B7BCB
client_20360282A4	owns	machine_AC047EE9DB
client_20360282A4	owns	machine_761A880303
client_20360282A4	owns	machine_A47AAC7AEA
client_20360282A4	owns	machine_ED924A3FEE
client_20360282A4	owns	machine_A148F79EEE
client_20360282A4	owns	machine_514C0FA584
client_20360282A4	owns	machine_A9CC561209
client_20360282A4	owns	machine_2C50FC0677
client_20360282A4	owns	machine_7B6D47028F
client_20360282A4	owns	machine_9F9F8C4B0A
client_20360282A4	owns	machine_DE68E3A33D
client_20360282A4	owns	machine_B7C3210BC8
client_20360282A4	owns	machine_F9D2DC7B81
client_20360282A4	owns	machine_BC78E611ED
client_20360282A4	owns	machine_1064C575E0
client_20360282A4	owns	machine_2CE4F25777
client_20360282A4	owns	machine_80F449DD3C
client_20360282A4	owns	machine_02A840355B
client_20360282A4	owns	machine_E0D9DBEF8E
client_20360282A4	owns	machine_A814F1A186
client_20360282A4	owns	machine_E9C65C76C0
client_20360282A4	owns	machine_EC7F9DBD09
client_20360282A4	owns	machine_84C188686A
client_20360282A4	owns	machine_3B22F9B790
client_20360282A4	owns	machine_D73D8D2ECF
client_20360282A4	owns	machine_989C68D5E4
client_20360282A4	owns	machine_56EA930856
client_20360282A4	owns	machine_A714FB11D3
client_20360282A4	owns	machine_DD58EDD910
client_20360282A4	owns	machine_D9C06CA370
client_20360282A4	owns	machine_EAA9156E5D
client_20360282A4	owns	machine_342489B1E3
client_20360282A4	owns	machine_E38877E814
client_20360282A4	owns	machine_3C7D64F9BA
client_20360282A4	owns	machine_6A59006175
client_20360282A4	owns	machine_D2C8067C0F
client_20360282A4	owns	machine_93B3BBD33A
client_20360282A4	owns	machine_8D44405E9E
client_20360282A4	owns	machine_16DB4E0A06
client_20360282A4	owns	machine_E66A12B204
client_20360282A4	owns	machine_FE7A618553
client_20360282A4	owns	machine_2D54AE988A
client_20360282A4	owns	machine_4F0FAD102D
client_20360282A4	owns	machine_B54AA180EC
client_216F25DD8C	owns	machine_E1A1140655
client_216F25DD8C	owns	machine_82D3632EE2
client_2307317FDF	owns	machine_CDE650EE3D
client_24193AB44B	owns	machine_EF396F6B53
client_24193AB44B	owns	machine_A2C95D550D
client_24DC37E634	owns	machine_044F30936D
client_24DC37E634	owns	machine_4C47E4F399
client_24DC37E634	owns	machine_7705FB0BD4
client_25677191C3	owns	machine_F2D57FC41D
client_25CC10393D	owns	machine_B13569233C
client_25CC10393D	owns	machine_D138003268
client_25CC10393D	owns	machine_CA31D6C61D
client_25CC10393D	owns	machine_9B814879A5
client_25CC10393D	owns	machine_3A2E6037EB
client_25CC10393D	owns	machine_24953C0AB1
client_25CC10393D	owns	machine_89F6D5DEDB
client_25CC10393D	owns	machine_719614E269
client_25CC10393D	owns	machine_AF14DA706C
client_25CC10393D	owns	machine_648E8D0EC4
client_25CC10393D	owns	machine_3FF914A177
client_25CC10393D	owns	machine_4D46084968
client_2665659AE1	owns	machine_6A4E3BDA95
client_27F6FE4F8B	owns	machine_5CDDF61613
client_27F6FE4F8B	owns	machine_76979F0B1B
client_27F6FE4F8B	owns	machine_978551A4D2
client_27F6FE4F8B	owns	machine_3AEFD84C08
client_27F6FE4F8B	owns	machine_D3D3654DF8
client_27F6FE4F8B	owns	machine_BB89B6145C
client_27F6FE4F8B	owns	machine_EF6C017154
client_27F6FE4F8B	owns	machine_83E2592ED8
client_27F6FE4F8B	owns	machine_AB3A540C7D
client_27F6FE4F8B	owns	machine_721361DDB5
client_27F6FE4F8B	owns	machine_F45AC415E8
client_2843275F12	owns	machine_F7802BB7AF
client_28F7B02E68	owns	machine_FB6B66BF59
client_28F7B02E68	owns	machine_5ADAC93067
client_29B02E83DB	owns	machine_B9C56469A2
client_29B02E83DB	owns	machine_EA81AB7769
client_29B02E83DB	owns	machine_37E204EC72
client_29B02E83DB	owns	machine_B0762C6898
client_29B02E83DB	owns	machine_B5E299D6DE
client_29B02E83DB	owns	machine_2806A3FBE0
client_29B02E83DB	owns	machine_1F4DE7B8CE
client_29B02E83DB	owns	machine_B1287ADE22
client_29B02E83DB	owns	machine_BEB818F519
client_29B02E83DB	owns	machine_490F1EC690
client_29B02E83DB	owns	machine_3F1E0B854F
client_29B02E83DB	owns	machine_4586A26E21
client_29B02E83DB	owns	machine_394D33A20D
client_29B02E83DB	owns	machine_0525993135
client_29B02E83DB	owns	machine_C67480FCC7
client_29B02E83DB	owns	machine_292DAEE86D
client_29B02E83DB	owns	machine_0DD9DAC086
client_29B02E83DB	owns	machine_18CA0C915E
client_29B02E83DB	owns	machine_F1357B1148
client_29B02E83DB	owns	machine_D59E4E6B8B
client_29B02E83DB	owns	machine_ECBA51324D
client_29B02E83DB	owns	machine_C93454AA89
client_29B02E83DB	owns	machine_D0FFFDE141
client_29B02E83DB	owns	machine_9744D7A3B7
client_29B02E83DB	owns	machine_9C2F89E803
client_29B02E83DB	owns	machine_B892410CC4
client_29B02E83DB	owns	machine_F3C480FB56
client_29B02E83DB	owns	machine_95F3FC2D0E
client_29B02E83DB	owns	machine_225FCFC7E2
client_29B02E83DB	owns	machine_9E93ADDDEB
client_29B02E83DB	owns	machine_31B445EC92
client_29B02E83DB	owns	machine_68910F5D0F
client_29B02E83DB	owns	machine_D7A51A8104
client_29B02E83DB	owns	machine_5978BA62FB
client_29B02E83DB	owns	machine_6176E11C6F
client_29B02E83DB	owns	machine_8CA46CCC2F
client_29B02E83DB	owns	machine_46146CD745
client_29B02E83DB	owns	machine_7EA44B47EC
client_29B02E83DB	owns	machine_06CCFEAF39
client_29B02E83DB	owns	machine_93794BC154
client_29B02E83DB	owns	machine_79810D41C7
