number,value,datetime_start,datetime_complete,duration,params_embedding_dim,params_learning_rate,params_loss_margin,params_num_negs_per_pos,params_regularizer_weight,state
18,0.10603514313697816,2026-05-06 22:23:48.898161,2026-05-06 22:25:16.363688,0 days 00:01:27.465527,256,0.00048290393470022897,3.4204401241555153,64,6.979263951742382e-05,COMPLETE
19,0.0989697203040123,2026-05-06 22:25:16.484667,2026-05-06 22:26:06.262601,0 days 00:00:49.777934,200,0.007208133518440969,1.6362735973673679,8,9.3764560033234e-08,COMPLETE
20,0.1539316624403,2026-05-06 22:26:06.391029,2026-05-06 22:27:09.232786,0 days 00:01:02.841757,64,0.005057150078193738,1.2256824825747703,16,1.0676790422275237e-08,COMPLETE
21,0.20113614201545715,2026-05-06 22:27:09.357033,2026-05-06 22:29:01.558430,0 days 00:01:52.201397,128,0.002777936171308054,0.5231446001209639,64,1.2478771492186323e-05,COMPLETE
22,0.21319636702537537,2026-05-06 22:29:01.684510,2026-05-06 22:31:38.934230,0 days 00:02:37.249720,128,0.0019448750479307746,0.536992953998288,64,2.2891855637394204e-05,COMPLETE
23,0.20643259584903717,2026-05-06 22:31:39.058651,2026-05-06 22:34:14.752260,0 days 00:02:35.693609,128,0.0018710907343517872,2.5772766593602183,64,2.27029666235641e-06,COMPLETE
24,0.1962655782699585,2026-05-06 22:34:14.976539,2026-05-06 22:36:51.984860,0 days 00:02:37.008321,128,0.0007622517945447899,1.6191945017426157,64,2.865644308414345e-05,COMPLETE
25,0.09925539046525955,2026-05-06 22:36:52.133744,2026-05-06 22:39:44.534836,0 days 00:02:52.401092,400,0.0004868818470627388,2.9766260791037453,128,0.00014342411835036487,COMPLETE
26,0.1737443506717682,2026-05-06 22:39:44.659581,2026-05-06 22:42:20.892333,0 days 00:02:36.232752,128,0.0014701637100127808,4.309179257696369,64,3.900737414992998e-06,COMPLETE
27,0.1662224680185318,2026-05-06 22:42:21.018703,2026-05-06 22:44:25.258551,0 days 00:02:04.239848,128,0.004793185972858347,1.3935865103159446,64,5.083480021856108e-07,COMPLETE
28,0.1665276139974594,2026-05-06 22:44:25.383354,2026-05-06 22:51:33.107636,0 days 00:07:07.724282,400,0.0021043301388116074,5.864938824045736,128,2.800101543180323e-05,COMPLETE
29,0.17164801061153412,2026-05-06 22:51:33.238316,2026-05-06 22:53:26.511258,0 days 00:01:53.272942,128,0.0010246280011416131,1.833312669090899,16,0.0016372550746123096,COMPLETE
30,0.19201967120170593,2026-05-06 22:53:26.640673,2026-05-06 22:55:29.974650,0 days 00:02:03.333977,256,0.0006169927631157572,1.002743692460559,8,0.00020532281022281535,COMPLETE
31,0.2055196464061737,2026-05-06 22:55:30.111462,2026-05-06 22:58:06.090954,0 days 00:02:35.979492,128,0.0020903741798273734,2.7807300997278768,64,4.29113916965428e-06,COMPLETE
32,0.20957528054714206,2026-05-06 22:58:06.219018,2026-05-06 23:00:44.790613,0 days 00:02:38.571595,128,0.0016812307832690095,2.323207755900574,64,1.4233847074388112e-06,COMPLETE
33,0.1973906904459,2026-05-06 23:00:44.917400,2026-05-06 23:03:20.898993,0 days 00:02:35.981593,128,0.0009831683421553255,2.030938002924638,64,1.044489616422553e-06,COMPLETE
34,0.14742781221866608,2026-05-06 23:03:21.023398,2026-05-06 23:05:04.843457,0 days 00:01:43.820059,400,0.0032624791657603477,1.0859709911954745,16,1.4857199442815988e-07,COMPLETE
35,0.2087147682905197,2026-05-06 23:05:04.971728,2026-05-06 23:06:56.691453,0 days 00:01:51.719725,128,0.0013520764195276414,0.5450909313709574,32,3.092734429023206e-05,COMPLETE
36,0.07101894915103912,2026-05-06 23:06:56.815375,2026-05-06 23:08:29.471796,0 days 00:01:32.656421,64,0.00028314765914898857,4.5217564541435875,64,5.3690001334791125e-06,COMPLETE
37,0.12618739902973175,2026-05-06 23:08:29.595950,2026-05-06 23:13:09.137840,0 days 00:04:39.541890,400,0.0045635944760665,3.8371468920929837,64,2.0370230163594004e-05,COMPLETE
38,0.08269324898719788,2026-05-06 23:13:09.276334,2026-05-06 23:14:38.050366,0 days 00:01:28.774032,128,0.0009039082680444443,3.1510807854503646,128,6.350996916142608e-05,COMPLETE
39,0.09908702969551086,2026-05-06 23:14:38.176135,2026-05-06 23:15:38.237392,0 days 00:01:00.061257,200,0.00043667751396804993,1.9000338321816068,32,2.802518117424673e-07,COMPLETE
40,0.11779694259166718,2026-05-06 23:15:38.359656,2026-05-06 23:17:05.072405,0 days 00:01:26.712749,400,0.00015882112928723233,1.109568740860209,16,1.205815278837162e-06,COMPLETE
41,0.2138389348983765,2026-05-06 23:17:05.192992,2026-05-06 23:19:08.524871,0 days 00:02:03.331879,128,0.0013343168689349334,0.8140160005033017,32,2.1049781520993443e-05,COMPLETE
42,0.21381033957004544,2026-05-06 23:19:08.692645,2026-05-06 23:21:13.356098,0 days 00:02:04.663453,128,0.0015720962517483128,1.0315756968222043,32,6.849876013737007e-06,COMPLETE
43,0.20229513943195343,2026-05-06 23:21:13.482021,2026-05-06 23:23:20.469469,0 days 00:02:06.987448,128,0.002667159707249799,0.9371946449602643,32,0.0003380891592776617,COMPLETE
44,0.2118554562330246,2026-05-06 23:23:20.605591,2026-05-06 23:25:24.472498,0 days 00:02:03.866907,128,0.0013552284442999497,1.5108890432797932,32,8.388537397518883e-06,COMPLETE
45,0.1900096833705902,2026-05-06 23:25:24.600302,2026-05-06 23:27:16.678950,0 days 00:01:52.078648,64,0.0006374233214985122,0.8020261008918677,32,1.6708955507037855e-05,COMPLETE
46,0.21196013689041138,2026-05-06 23:27:16.818836,2026-05-06 23:29:22.680660,0 days 00:02:05.861824,128,0.0011667251195930195,1.3859947331936515,32,5.4792378699691675e-05,COMPLETE
47,0.09503197669982909,2026-05-06 23:29:22.819788,2026-05-06 23:31:28.110740,0 days 00:02:05.290952,128,0.00010481655412293532,8.529821304054172,32,7.621087474241613e-06,COMPLETE
48,0.15775464475154877,2026-05-06 23:31:28.238184,2026-05-06 23:33:51.734204,0 days 00:02:23.496020,256,0.003747963867260382,2.0093969807721344,32,3.600048198423705e-06,COMPLETE
49,0.23360733687877655,2026-05-06 23:33:51.856982,2026-05-06 23:38:21.380103,0 days 00:04:29.523121,200,0.0008335968605415392,0.5694515758274116,128,0.00011258520456314232,COMPLETE
